city,years,area,rooms,avg_heat_per_m,floor,building_type,heating_type,installation,price
Vilnius,1970,47,2,"24,91",3,Blokinis,Centrinis,Įrengtas,99000
Vilnius,1984,41,2,"26,65",5,Blokinis,Centrinis,Įrengtas,88000
Vilnius,1970,"28,79",1,,4,Mūrinis,Elektra,Įrengtas,40306
Palanga,2020,"99,72",5,,2,Mūrinis,Kita,Įrengtas,294600
Vilnius,2004,64,2,,2,Mūrinis,"Elektra,kita",Įrengtas,217000
Palanga,1987,20,1,,1,Mūrinis,"Elektra,aeroterminis",Įrengtas,35400
Palanga,2020,"99,59",3,,2,Mūrinis,Kita,Įrengtas,237200
Palanga,2021,"24,58",1,,2,Mūrinis,"Elektra,kita",Įrengtas,113925
Kaunas,1987,83,4,"45,65",1,Blokinis,Centrinis,Įrengtas,76500
Vilnius,2020,50,2,,2,Mūrinis,Centriniskolektorinis,Įrengtas,137500
Vilnius,2020,"49,5",2,,4,Mūrinis,Centriniskolektorinis,Įrengtas,137000
Vilnius,2020,"25,71",1,,4,Mūrinis,Centriniskolektorinis,Įrengtas,78400
Klaipėdos r. sav.,2007,120,3,,1,Mūrinis,Geoterminis,Įrengtas,67000
Klaipėda,2022,"63,53",3,,3,Mūrinis,Centriniskolektorinis,Įrengtas,109990
Vilnius,1952,"68,24",2,"42,31",4,Mūrinis,Elektra,Įrengtas,185000
Klaipėda,1966,39,2,,4,Mūrinis,"Centrinis,centriniskolektorinis",Įrengtas,149000
Vilnius,1940,30,2,,1,Medinis,Aeroterminis,Įrengtas,120000
Klaipėda,2014,"60,51",2,,3,Mūrinis,Centriniskolektorinis,Įrengtas,130000
Vilnius,2008,61,2,"17,08",5,Mūrinis,Centriniskolektorinis,Įrengtas,122000
Vilnius,2015,41,2,,1,Mūrinis,Centriniskolektorinis,Įrengtas,130000
Vilnius,1973,"63,6",3,,6,Blokinis,Centrinis,Įrengtas,89000
Klaipėda,1925,100,3,,4,Mūrinis,Dujinis,Įrengtas,255000
Vilnius,1964,"45,91",2,"34,89",3,Mūrinis,Centrinis,Įrengtas,85000
Vilnius,2021,58,3,,1,Mūrinis,Centriniskolektorinis,Įrengtas,159900
Vilnius,1984,"35,49",2,,5,Mūrinis,Centrinis,Įrengtas,77900
Vilnius,1986,"35,09",1,"23,86",1,Mūrinis,Centrinis,Įrengtas,64000
Palanga,2021,"27,97",2,,3,Mūrinis,Elektra,Įrengtas,129000
Palanga,2020,"31,28",2,,1,Mūrinis,Elektra,Įrengtas,89500
Vilnius,1972,27,1,"25,92",2,Mūrinis,Centrinis,Įrengtas,50900
Klaipėda,2018,64,2,,2,Mūrinis,Centriniskolektorinis,Įrengtas,152000
Vilnius,2018,"52,42",2,"17,30",3,Mūrinis,Centriniskolektorinis,Įrengtas,241132
Palanga,2008,76,3,,2,Mūrinis,Centriniskolektorinis,Įrengtas,220000
Palanga,2022,"53,8",3,,1,Mūrinis,Dujinis,Įrengtas,259000
Kaunas,1988,37,1,,8,Monolitinis,Centrinis,Įrengtas,44000
Druskininkų m.,1988,42,2,,2,Mūrinis,"Elektra,aeroterminis,kita",Įrengtas,60900
Vilnius,2007,30,1,,2,Mūrinis,Dujinis,Įrengtas,42000
Vilnius,2007,80,3,,1,Mūrinis,Dujinis,Įrengtas,104000
Vilnius,2007,100,4,,2,Mūrinis,Dujinis,Įrengtas,130000
Vilnius,2007,60,2,,1,Mūrinis,Dujinis,Įrengtas,78000
Palanga,2019,"35,2",2,,1,Mūrinis,Geoterminis,Įrengtas,278000
Druskininkų m.,2022,"37,45",2,,1,Mūrinis,Centriniskolektorinis,Įrengtas,123585
Druskininkų m.,2022,"27,53",1,,2,Mūrinis,Centriniskolektorinis,Įrengtas,82590
Palanga,2011,55,2,,2,Monolitinis,Centrinis,Įrengtas,140900
Klaipėda,1956,100,3,,2,Mūrinis,Kita,Įrengtas,115000
Trakų m.,2009,25,2,,1,Mūrinis,Dujinis,Įrengtas,42500
Palanga,2020,123,4,,3,Mūrinis,"Elektra,aeroterminis",Įrengtas,165000
Palanga,2019,17,2,,2,Mūrinis,"Elektra,aeroterminis,kita",Įrengtas,27200
Palanga,1998,18,2,,2,Mūrinis,"Elektra,aeroterminis,kita",Įrengtas,25164
Palanga,2019,29,2,,2,Mūrinis,"Elektra,aeroterminis",Įrengtas,66700
Palanga,1994,25,2,,2,Mūrinis,"Elektra,aeroterminis,kita",Įrengtas,30000
Druskininkų m.,2021,21,2,,2,Mūrinis,"Elektra,aeroterminis,kita",Įrengtas,30450
Neringos m.,2006,"66,05",3,,2,Medinis,Elektra,Įrengtas,276000
Klaipėda,1958,193,3,,1,Mūrinis,Centriniskolektorinis,Įrengtas,145000
Šiauliai,2007,"78,18",3,,5,Kita,Dujinis,Įrengtas,95000
Vilnius,1982,"74,81",3,,7,Monolitinis,Centrinis,Įrengtas,125125
Klaipėda,1960,76,3,,2,Mūrinis,Centrinis,Įrengtas,170000
Palanga,2021,"40,14",2,,1,Mūrinis,Dujinis,Įrengtas,194000
Palanga,2022,"42,37",2,,2,Mūrinis,Dujinis,Įrengtas,229000
Klaipėda,1989,78,3,,4,Blokinis,Centrinis,Įrengtas,80000
Vilnius,1993,"37,01",2,,2,Mūrinis,Centrinis,Įrengtas,87000
